Date,	Open,	High,	Low	Close*,	Adj Close**,	Volume,
"Mar 01 2024",	18075.00,	18709.00,	17831.75,	18475.00, 	18475.00, 11614100
"Feb 01 2024",	17273.25,	18144.75,	17262.75,	18082.75, 	18082.75, 13894248
"Jan 01 2024",	17019.00,	17793.50,	16334.25,	17242.25, 	17242.25, 14464128
"Dec 01 2023",	15955.00,	17165.25,	15721.25,	17023.50, 	17023.50, 9812415
"Nov 01 2023",	14460.00,	16208.50,	14410.75,	15985.50, 	15985.50, 13228152
"Sep 01 2023",	15534.00,	15661.25,	14586.00,	14866.50, 	14866.50, 11117798
"Aug 01 2023",	15869.25,	15889.25,	14609.25,	15538.50, 	15538.50, 15148893
"Jul 01 2023",	15331.00,	16062.75,	15063.25,	15857.50, 	15857.50, 12133492
"Jun 01 2023",	14289.50,	15376.75,	14248.25,	15337.00, 	15337.00, 11676635
"May 01 2023",	13317.00,	14570.00,	13001.75,	14300.50, 	14300.50, 14311417
"Apr 01 2023",	13262.00,	13348.75,	12800.00,	13320.25, 	13320.25, 11080818
"Mar 01 2023",	12041.25,	13311.50,	11674.25,	13301.75, 	13301.75, 14405451
"Feb 01 2023",	12116.00,	12949.75,	11923.00,	12072.25, 	12072.25, 12850113
"Dec 01 2022",	12079.25,	12229.50,	10758.75,	11022.25, 	11022.25, 11096165
"Nov 01 2022",	11455.00,	12118.75,	10636.00,	12042.25, 	12042.25, 13197524
"Oct 01 2022",	11030.00,	11734.00,	10484.75,	11447.25, 	11447.25, 16031242
"Sep 01 2022",	12284.75,	12889.00,	11024.25,	11035.50, 	11035.50, 14669999
"Aug 01 2022",	12981.00,	13740.75,	12247.50,	12285.25, 	12285.25, 13999308
"Jul 01 2022",	11507.50,	13012.00,	11381.75,	12971.50, 	12971.50, 12294206
"Jun 01 2022",	12662.50,	12945.25,	11036.75,	11529.50, 	11529.50, 12763986
"Apr 01 2022",	14918.75,	15198.00,	12801.50,	12852.00, 	12852.00, 12864664
"Mar 01 2022",	14219.25,	15268.75,	12944.00,	14868.75, 	14868.75, 12384187
"Feb 01 2022",	14868.75,	15260.00,	13025.75,	14228.00, 	14228.00, 14641791
"Jan 01 2022",	16356.00,	16564.00,	13706.00,	14905.00, 	14905.00, 17130850
"Dec 01 2021",	16238.75,	16659.50,	15492.00,	16320.75, 	16320.75, 10934960
"Nov 01 2021",	15885.25,	16767.50,	15768.50,	16150.50, 	16150.50, 12452497
"Oct 01 2021",	14702.25,	15864.75,	14367.75,	15838.50, 	15838.50, 11176482
"Sep 01 2021",	15599.50,	15708.75,	14670.25,	14682.50, 	14682.50, 10753550
"Jul 01 2021",	14558.50,	15134.00,	14445.00,	14955.75, 	14955.75, 10543085
"Jun 01 2021",	13699.00,	14598.50,	13462.25,	14549.00, 	14549.00,	8250169
"May 01 2021",	13880.25,	13947.50,	12915.00,	13686.50, 	13686.50, 10554306
"Apr 01 2021",	13094.50,	14064.00,	13090.25,	13850.00, 	13850.00, 10557753
"Mar 01 2021",	12957.50,	13328.25,	12207.25,	13089.75, 	13089.75, 13160708
"Feb 01 2021",	12849.00,	13900.50,	12662.25,	12911.00, 	12911.00, 10811597
"Jan 01 2021",	12889.00,	13599.75,	12491.25,	12911.25, 	12911.25, 10188559
"Dec 01 2020",	12336.00,	12918.25,	12218.25,	12885.50, 	12885.50,	7949444
"Oct 01 2020",	11375.00,	12249.00,	10944.50,	11046.25, 	11046.25, 13198308
"Sep 01 2020",	12109.75,	12465.25,	10656.50,	11407.25, 	11407.25,  13175609
"Aug 01 2020",	10933.25,	12165.00,	10845.50,	12114.00, 	12114.00,	9551690
"Jul 01 2020",	10141.00,	11058.50,	10076.00,	10890.50, 	10890.50,  12093981
"Jun 01 2020",	9513.00,  10296.259,    381.75,	10147.25, 	10147.25,	9449858
"May 01 2020",	8847.00,  9604.008,    556.25,	9560.25,   9560.25,	9145210
"Apr 01 2020",	7772.50,  9144.757,    376.00,	8988.50,   8988.50,	9239169
"Feb 01 2020",	8982.75,  9763.008,    126.25,	8454.00,   8454.00, 15436423
"Jan 01 2020",	8776.75,  9287.258,    678.00,	8997.75,   8997.75, 12091541
"Nov 01 2019",	8094.25,  8458.758,    084.50,	8417.50,   8417.50,	6721180
"Oct 01 2019",	7784.00,  8141.007,    474.25,	8090.25,   8090.25,	9465167
"Aug 01 2019",	7834.00,  8014.507,    224.50,	7690.75,   7690.75, 13364228
"Jul 01 2019",	7781.50,  8051.757,    743.00,	7866.75,   7866.75,	7912845
"Jun 01 2019",	7110.00,  7794.256,    941.25,	7693.75,   7693.75,	7416365
"May 01 2019",	7848.75,  7872.507,    129.25,	7133.50,   7133.50, 12790997
"Apr 01 2019",	7430.00,  7879.507,    428.50,	7800.00,   7800.00,	8150702