Date,	Open,	High,	Low,	Close*,	Adj, Close**,	Volume
"Mar 01", 2024,	78.28, 83.85,	76.79, 83.17,	83.17, 5784157
"Feb 01", 2024,	75.96, 79.80,	71.41, 78.26,	78.26, 6549968
"Jan 01", 2024,	71.71, 79.29,	69.28, 75.85,	75.85, 7247587
"Dec 01", 2023,	75.59, 76.76,	67.71, 71.65,	71.65, 5452906
"Nov 01", 2023,	81.48, 83.60,	72.16, 75.96,	75.96, 6814928
"Sep 01", 2023,	83.63, 95.03,	83.46, 90.79,	90.79, 6703761
"Aug 01", 2023,	81.73, 84.89,	77.59, 83.63,	83.63, 7346160
"Jul 01", 2023,	70.45, 82.00,	69.69, 81.80,	81.80, 6301345
"Jun 01", 2023,	67.60, 75.06,	66.80, 70.64,	70.64, 6857383
"May 01", 2023,	76.66, 76.69,	63.64, 68.09,	68.09, 6920662
"Apr 01", 2023,	80.10, 83.53,	73.93, 76.78,	76.78, 5497349
"Mar 01", 2023,	76.85, 80.94,	64.12, 75.67,	75.67, 7758732
"Feb 01", 2023,	79.06, 80.62,	72.25, 77.05,	77.05, 6069523
"Dec 01", 2022,	80.40, 83.34,	70.08, 80.26,	80.26, 5673808
"Nov 01", 2022,	86.43, 93.74,	73.60, 80.55,	80.55, 6418409
"Oct 01", 2022,	81.02, 93.64,	80.87, 86.53,	86.53, 5645391
"Sep 01", 2022,	88.83, 90.39,	76.25, 79.49,	79.49, 6058680
"Aug 01", 2022,	98.46, 98.65,	85.73, 89.55,	89.55, 6941741
"Jul 01", 2022,	106.01, 111.45,	90.56,	98.62,	98.62,  6442224
"Jun 01", 2022,	115.40, 123.68,	101.53,	105.76,	105.76, 6646137
"Apr 01", 2022,	101.23, 109.81,	92.93,	104.69,	104.69, 5669971
"Mar 01", 2022,	96.09, 130.50,	93.53,	100.28,	100.28, 9128833
"Feb 01", 2022,	88.15, 100.54,	86.55,	95.72,	95.72,	9108602
"Jan 01", 2022,	75.69, 88.84,	74.27, 88.15,	88.15,	8385229
"Dec 01", 2021,	67.01, 77.44,	62.43, 75.21,	75.21,	7853281
"Nov 01", 2021,	83.36, 84.97,	64.43, 66.18,	66.18,	10364108
"Oct 01", 2021,	75.12, 85.41,	74.23, 83.57,	83.57,	9725158
"Sep 01", 2021,	68.55, 76.67,	67.12, 75.03,	75.03,	8102078
"Jul 01", 2021,	73.50, 76.98,	65.21, 73.95,	73.95,	8643164
"Jun 01", 2021,	66.68, 74.45,	66.41, 73.47,	73.47,	8261945
"May 01", 2021,	63.64, 67.52,	61.56, 66.32,	66.32,	8001095
"Apr 01", 2021,	59.49, 65.47,	57.63, 63.58,	63.58,	8438272
"Mar 01", 2021,	61.95, 67.98,	57.25, 59.16,	59.16,	10167951
"Feb 01", 2021,	51.99, 63.81,	51.64, 61.50,	61.50,	8065615
"Jan 01", 2021,	48.40, 53.93,	47.18, 52.20,	52.20,	7574920
"Dec 01", 2020,	45.08, 49.28,	43.92, 48.52,	48.52,	6658228
"Oct 01", 2020,	39.90, 41.70,	34.92, 35.79,	35.79,	7685767
"Sep 01", 2020,	42.83, 43.43,	36.13, 40.22,	40.22,	7025110
"Aug 01", 2020,	40.39, 43.78,	39.58, 42.61,	42.61,	6720832
"Jul 01", 2020,	39.84, 42.40,	38.54, 40.27,	40.27,	7151922
"Jun 01", 2020,	35.21, 41.63,	34.27, 39.27,	39.27,	7923564
"May 01", 2020,	19.04, 35.77,	18.05, 35.49,	35.49,	6304127
"Apr 01", 2020,	20.10, 29.13,	-40.32, 18.84, 18.84,	16824885
"Feb 01", 2020,	51.01, 54.50,	43.85,	44.76, 44.76,	13979728
"Jan 01", 2020,	61.60, 65.65,	50.97,	51.56, 51.56,	13141261
"Nov 01", 2019,	54.15, 58.74,	54.07,	55.17, 55.17,	10112807
"Oct 01", 2019,	54.28, 56.92,	50.99,	54.18, 54.18,	11751844
"Aug 01", 2019,	57.85, 57.99,	50.52,	55.10, 55.10,	14650885
"Jul 01", 2019,	59.27, 60.94,	54.72,	58.58, 58.58,	12395594
"Jun 01", 2019,	53.42, 59.93,	50.60,	58.47, 58.47,	13290297
"May 01", 2019,	63.40, 63.93,	53.05,	53.50, 53.50,	16862619
"Apr 01", 2019,	60.24, 66.60,	60.13,	63.91, 63.91,	14068153